Name,Tooth,Class1,Class2,Classify,Exclude,Comment
KNM-ER_1590D_URC,UC,Early Homo,Early Homo,*,*,
LH5_URC,UC,Aus,Aus,*,*,
MH1_URC1,UC,Aus,Aus,*,*,
MLD11_30_URC,UC,Aus,Aus,*,*,
OH15_URC,UC,Early Homo,Early Homo,*,*,
OH39_URC,UC,Early Homo,Early Homo,*,*,
OH62_URC,UC,Early Homo,Early Homo,*,*,
SK4_URC,UC,Prob,Prob,*,*,
SK65a_URC,UC,Prob,Prob,*,*,
SK93_ULC,UC,Prob,Prob,*,*,
SKX162_URC,UC,Prob,Prob,*,*,
SKX25296_ULC,UC,Prob,Prob,*,*,
SKX28724_URC,UC,Prob,Prob,*,*,
STS52a_URC,UC,Aus,Aus,*,*,
STW126_URC,UC,Aus,Aus,*,*,
STW252_ULC,UC,Aus,Aus,*,*,
UW101_337_URC,UC,Hnal,Hnal,*,*,
UW101_412_ULC,UC,Hnal,Hnal,*,*,
UW101_501_ULC,UC,Hnal,Hnal,*,*,
UW101_706_ULC,UC,Hnal,Hnal,*,*,
UW101_1556_ULC,UC,Hnal,Hnal,*,*,
AL200-1a_ULI1,UI1,Aus,Aus,*,ex,
AL486-1_ULI1,UI1,Aus,Aus,*,ex,
DNH93_ULI1,UI1,Prob,ProbDNH,*,ex,
DNH108_URI1,UI1,Prob,ProbDNH,*,ex,
KNM-WT_15000A_ULI1,UI1,Here,Here,*,ex,
LH3b_ULI1,UI1,Aus,Aus,*,ex,
MH1_URI1,UI1,Aus,Aus,*,ex,
MLD43_ULI1,UI1,Aus,Aus,*,ex,
OH16_URI1,UI1,Early Homo,Early Homo,*,ex,
OH39_URI1,UI1,Early Homo,Early Homo,*,ex,
Prob_KB5389_ULI1,UI1,Prob,Prob,*,ex,
Prob_SK2_URI1,UI1,Prob,Prob,*,ex,
Prob_SK3_URI1,UI1,Prob,Prob,*,ex,
Prob_SK40_ULI1,UI1,Prob,Prob,*,ex,
Prob_SK68_ULI1,UI1,Prob,Prob,*,ex,
Prob_SKX240_ULI1,UI1,Prob,Prob,*,ex,
SK65_ULI1,UI1,Prob,Prob,*,ex,
STS24a_URI1,UI1,Aus,Aus,*,ex,
STS52a_ULI1,UI1,Aus,Aus,*,ex,
STW75_STW78.79_ULI1,UI1,Aus,Aus,*,ex,
STW183a_URI1,UI1,Aus,Aus,*,ex,
STW252_ULI1,UI1,Aus,Aus,*,ex,
UW101_038_URI1,UI1,Hnal,Hnal,*,ex,
UW101_591_ULI1,UI1,Hnal,Hnal,*,ex,
UW101_931_ULI1,UI1,Hnal,Hnal,*,ex,
UW101_1558_URI1,UI1,Hnal,Hnal,*,ex,
UW_105_006_UI1,UI1,UW105,UW105,*,ex,
AL200-1a_ULI2,UI2,Aus,Aus,*,ex,
AL417-1d_URI2,UI2,Aus,Aus,*,ex,
AL486-1_ULI2,UI2,Aus,Aus,*,ex,
AL666_ULI2,UI2,Aus,Aus,*,ex,
DNH7_ULI2,UI2,Prob,ProbDNH,*,ex,
DNH45_ULI2,UI2,Prob,ProbDNH,*,ex,
KNM-ER1813_URI2,UI2,Early Homo,Early Homo,*,ex,
KNM-ER_17760_ULI2,UI2,East Paranthropus,East Paranthropus,*,ex,
KNM-WT_17400_URI2,UI2,East Paranthropus,East Paranthropus,*,ex,
LH3d_ULI2,UI2,Aus,Aus,*,ex,
LH5_URI2,UI2,Aus,Aus,*,ex,
LH6a_URI2,UI2,Aus,Aus,*,ex,
MLD11_30_URI2,UI2,Aus,Aus,*,ex,
OH16_URI2,UI2,Early Homo,Early Homo,*,ex,
OH29_URI2,UI2,Early Homo,Early Homo,*,ex,
SK65_ULI2,UI2,Prob,Prob,*,ex,
SKX610_URI2,UI2,Prob,Prob,*,ex,
STW183b_URI2,UI2,Aus,Aus,*,ex,
STW252_ULI2,UI2,Aus,Aus,*,ex,
UW101_073_URI2,UI2,Hnal,Hnal,*,ex,
UW101_709_URI2,UI2,Hnal,Hnal,*,ex,
UW101_932_ULI2,UI2,Hnal,Hnal,*,ex,
UW101_1684_ULI2,UI2,Hnal,Hnal,*,ex,
